symbol,entry_time,exit_time,qty,entry_price,exit_price,reason,pnl,pnl_pct,fees_paid,duration_bars
BTCUSDT,2021-01-10 20:00:00,2021-01-10 20:00:00,0.0008005892336759855,37472.4,36132.9553648331,STOP LOSS,-1.131272609065661,-0.03574483180065602,0.05892765504598031,1
BTCUSDT,2021-01-10 23:00:00,2021-01-11 00:00:00,0.0007563438573198058,38429.85,36910.71129064807,STOP LOSS,-1.2059746019742779,-0.039530175354624886,0.056983370739208006,2
BTCUSDT,2021-01-11 00:00:00,2021-01-11 00:00:00,0.0007390120259500608,38150.02,36658.29798417321,STOP LOSS,-1.157684755701864,-0.039101474018278015,0.05528424663140021,1
BTCUSDT,2021-01-10 21:00:00,2021-01-11 02:00:00,0.0007942807930738738,37727.29,36196.1210530593,STOP LOSS,-1.2748940310640968,-0.040585182422079646,0.058715945557949914,6
BTCUSDT,2021-01-11 01:00:00,2021-01-11 03:00:00,0.0007796083362996781,37192.1,35617.95741387512,STOP LOSS,-1.2839780103936047,-0.042324649216497034,0.056763327726315226,3
BTCUSDT,2021-01-11 02:00:00,2021-01-11 03:00:00,0.0007552712941013868,37237.67,35655.54724145547,STOP LOSS,-1.249986057790351,-0.042487157723470115,0.05505415451716759,2
BTCUSDT,2021-01-14 22:00:00,2021-01-15 06:00:00,0.0007678967423123086,38782.41,37648.505824790875,STOP LOSS,-0.9294123735112185,-0.029237589288781396,0.058691051273803196,9
BTCUSDT,2021-01-16 01:00:00,2021-01-16 05:00:00,0.0007533164403053044,37159.51,35824.74215840057,STOP LOSS,-1.0604827961019885,-0.03591995270119086,0.054980237034311055,5
BTCUSDT,2021-01-16 02:00:00,2021-01-16 05:00:00,0.0007337698632975348,37003.76,35682.19486137196,STOP LOSS,-1.0230594342721673,-0.03571434736978196,0.05333476316227969,4
BTCUSDT,2021-01-16 09:00:00,2021-01-16 21:00:00,0.0007026872249299813,37462.57,36124.39065996697,STOP LOSS,-0.9920301440836262,-0.03572043615889209,0.051708617177183905,13
BTCUSDT,2021-01-16 00:00:00,2021-01-16 22:00:00,0.0007855617885870818,36737.43,35381.20463212369,STOP LOSS,-1.1220524693281548,-0.03691671866748181,0.05665364361206934,23
BTCUSDT,2021-01-15 23:00:00,2021-01-17 06:00:00,0.000812923604557786,36600.0,35195.616526902435,STOP LOSS,-1.2000208265103531,-0.038371133144742164,0.05836435137849808,32
BTCUSDT,2021-01-16 04:00:00,2021-01-17 06:00:00,0.0007209076644263979,36532.92,35176.44230393806,STOP LOSS,-1.029590996610549,-0.03713028403045626,0.05169582889603837,27
BTCUSDT,2021-01-16 08:00:00,2021-01-17 06:00:00,0.0007422102646619729,36565.74,35254.32994150289,STOP LOSS,-1.026647599716837,-0.03586444738974537,0.05330559311932426,23
BTCUSDT,2021-02-01 03:00:00,2021-02-02 11:00:00,0.0008776396205241828,33646.37,34750.50716281562,TAKE PROFIT,0.9090067112619352,0.0328159371372192,0.06002780931821265,33
BTCUSDT,2021-02-01 04:00:00,2021-02-02 11:00:00,0.0008531381351293009,33573.25,34750.50716281562,TAKE PROFIT,0.9460733776812198,0.03506533215627394,0.05828960277091173,32
BTCUSDT,2021-02-02 17:00:00,2021-02-03 08:00:00,0.000846144600340132,34964.52,36075.38846027666,TAKE PROFIT,0.8798453143989372,0.03177130589170574,0.06011003495232037,16
BTCUSDT,2021-02-02 20:00:00,2021-02-04 02:00:00,0.0008024316574761785,35762.05,37612.49602951474,TAKE PROFIT,1.4259784159466977,0.05174328735390543,0.05887805858702567,31
BTCUSDT,2021-02-04 14:00:00,2021-02-04 14:00:00,0.0007652447550908483,37587.58,36701.127170863765,STOP LOSS,-0.7352024216569325,-0.023583663250899223,0.05684904352498339,1
BTCUSDT,2021-02-04 09:00:00,2021-02-04 15:00:00,0.0007941864311547575,37339.11,36488.98505167787,STOP LOSS,-0.7337909700716234,-0.022767681080832713,0.05863327132804626,7
BTCUSDT,2021-02-04 15:00:00,2021-02-06 05:00:00,0.000781125838022347,36795.15,38737.802581501564,TAKE PROFIT,1.4584553848281565,0.0527964305486337,0.05900074088352761,39
BTCUSDT,2021-02-04 19:00:00,2021-02-06 05:00:00,0.0007739464409059703,37143.44,38737.802581501564,TAKE PROFIT,1.1752232278393133,0.042924472841006756,0.058728017627475704,35
BTCUSDT,2021-02-04 20:00:00,2021-02-06 05:00:00,0.0007442182674083982,37467.18,38737.802581501564,TAKE PROFIT,0.888907396030388,0.033912949453403396,0.05671314010469226,34
BTCUSDT,2021-02-07 09:00:00,2021-02-07 12:00:00,0.0007078491043447223,39496.96,38620.7072028495,STOP LOSS,-0.675550278405573,-0.022185322545089425,0.05529552076303611,4
BTCUSDT,2021-02-07 08:00:00,2021-02-07 15:00:00,0.0007384949051621347,39030.0,38144.93314153023,STOP LOSS,-0.7106106606390302,-0.02267657849012994,0.05699329493124845,8
BTCUSDT,2021-02-07 05:00:00,2021-02-07 16:00:00,0.0007756069753862593,38312.99,37410.60111076875,STOP LOSS,-0.7586308624656221,-0.023553079235821728,0.058731745466809177,12
BTCUSDT,2021-02-07 18:00:00,2021-02-08 13:00:00,0.0007829676595783776,37870.63,42057.0770240389,TAKE PROFIT,3.215271818656528,0.11054600950760274,0.06258080970407799,20
BTCUSDT,2021-02-07 19:00:00,2021-02-08 13:00:00,0.0007521317594240384,38239.37,42057.0770240389,TAKE PROFIT,2.8110251929801984,0.09983707953449295,0.06039350797568947,19
BTCUSDT,2021-02-07 20:00:00,2021-02-08 13:00:00,0.0007331760963707404,38050.0,42057.0770240389,TAKE PROFIT,2.879160496317571,0.10531082848985296,0.05873259402415507,18
BTCUSDT,2021-02-07 21:00:00,2021-02-08 13:00:00,0.0007033588367316212,38471.96,42057.0770240389,TAKE PROFIT,2.4649829297703896,0.09318779246076625,0.05664080980434566,17
BTCUSDT,2021-02-07 22:00:00,2021-02-08 13:00:00,0.0006812027357542355,38530.37,42057.0770240389,TAKE PROFIT,2.3475060835987525,0.09153057767259698,0.05489638938022483,16
BTCUSDT,2021-02-10 21:00:00,2021-02-11 17:00:00,0.0006747305317581565,44555.59,47033.15198986832,TAKE PROFIT,1.6098889983017646,0.05560608646116738,0.06179772058588445,20
BTCUSDT,2021-02-11 01:00:00,2021-02-11 17:00:00,0.0006589881250844167,44250.0,47033.15198986832,TAKE PROFIT,1.7739095984466875,0.06289609016651565,0.060154513181599166,16
BTCUSDT,2021-02-11 02:00:00,2021-02-11 17:00:00,0.0006402103163280787,44180.08,47033.15198986832,TAKE PROFIT,1.7681704690348359,0.06457824408349455,0.05839565210554003,15
BTCUSDT,2021-02-11 08:00:00,2021-02-11 17:00:00,0.0006137619276542297,44700.0,47033.15198986832,TAKE PROFIT,1.375697546616781,0.05219579395678564,0.05630231619510002,10
BTCUSDT,2021-02-11 09:00:00,2021-02-11 17:00:00,0.00059113833562946,45017.01,47033.15198986832,TAKE PROFIT,1.1374044407303112,0.044786226136927176,0.05441437955311294,9
BTCUSDT,2021-02-11 18:00:00,2021-02-12 14:00:00,0.0006395451180317434,47366.43,46188.7842620392,STOP LOSS,-0.8129903630314226,-0.024862455075478684,0.0598327805477009,21
BTCUSDT,2021-02-11 19:00:00,2021-02-12 14:00:00,0.0006166071121020874,47653.15,46484.67217189354,STOP LOSS,-0.7785377898130376,-0.024520474052742935,0.05804605066899113,20
BTCUSDT,2021-02-12 12:00:00,2021-02-12 14:00:00,0.0005992610516010585,47560.06,46501.79178277071,STOP LOSS,-0.6905465289476844,-0.022251196008358343,0.056367604214886076,3
BTCUSDT,2021-02-15 07:00:00,2021-02-16 06:00:00,0.0006446195056543714,46887.36,48831.20917572154,TAKE PROFIT,1.1913410379762777,0.04145785080929132,0.06170205674399737,24
BTCUSDT,2021-02-15 08:00:00,2021-02-16 06:00:00,0.0006201936701472302,47270.5,48831.20917572154,TAKE PROFIT,0.9083402800020869,0.03301655738190923,0.0596016717211125,23
BTCUSDT,2021-02-15 09:00:00,2021-02-16 06:00:00,0.000597405030088388,47600.0,48831.20917572154,TAKE PROFIT,0.6779220652479435,0.025865738985746622,0.05760848941908156,22
BTCUSDT,2021-02-15 10:00:00,2021-02-16 06:00:00,0.0005806155760956132,47505.67,48831.20917572154,TAKE PROFIT,0.7136939995470013,0.027902757201856865,0.055934692601865045,21
BTCUSDT,2021-02-15 11:00:00,2021-02-16 06:00:00,0.0005591271496661483,47849.99,48831.20917572154,TAKE PROFIT,0.494569197597526,0.020506152158475732,0.05405708332142635,20
BTCUSDT,2021-02-21 01:00:00,2021-02-21 21:00:00,0.0005434603742288598,55834.95,57390.219802639826,TAKE PROFIT,0.7836941158164172,0.02785477201358333,0.06153339315306883,21
BTCUSDT,2021-02-22 09:00:00,2021-02-22 10:00:00,0.0005473532040908595,55480.8,54163.48259270234,STOP LOSS,-0.7810520530763984,-0.023743662804026955,0.060014149387359286,2
BTCUSDT,2021-03-03 21:00:00,2021-03-04 04:00:00,0.0006005899003488419,50523.93,49395.95996726524,STOP LOSS,-0.7374582863149566,-0.022325461078240738,0.06001087675830708,8
BTCUSDT,2021-03-09 09:00:00,2021-03-10 20:00:00,0.0005612719569534536,54023.79,56135.9900251255,TAKE PROFIT,1.12368904626706,0.03909759061934559,0.06182959531226416,36
BTCUSDT,2021-03-10 07:00:00,2021-03-10 20:00:00,0.0005460279428366803,53864.4,56135.9900251255,TAKE PROFIT,1.1802883417109482,0.04217238148249125,0.06006328667665176,14
BTCUSDT,2021-03-10 08:00:00,2021-03-10 20:00:00,0.0005265701989107723,54177.47,56135.9900251255,TAKE PROFIT,0.9732104986130998,0.03615008277657661,0.05808778058796586,13
BTCUSDT,2021-03-11 00:00:00,2021-03-11 08:00:00,0.000544664063671959,55851.59,54623.479736644615,STOP LOSS,-0.729079327093586,-0.021988814702596282,0.06017180041720392,9
BTCUSDT,2021-03-11 01:00:00,2021-03-11 08:00:00,0.0005306263401671677,55607.55,54360.55689831286,STOP LOSS,-0.7200393598605164,-0.02242488837733625,0.05835197409856363,8
BTCUSDT,2021-03-11 02:00:00,2021-03-11 08:00:00,0.0005130828366216867,55781.91,54540.72283414766,STOP LOSS,-0.6934364812320706,-0.022250711132916434,0.05660464939811732,7
BTCUSDT,2021-03-15 12:00:00,2021-03-16 00:00:00,0.0005406170048671535,56150.8,54684.051932115915,STOP LOSS,-0.8528681530406147,-0.026121588078604208,0.059919205686434954,13
BTCUSDT,2021-03-16 22:00:00,2021-03-17 05:00:00,0.0005372973878222244,56450.1,55242.16710295076,STOP LOSS,-0.7090311536034436,-0.02139824193489892,0.06001196335435761,8
BTCUSDT,2021-03-16 23:00:00,2021-03-17 09:00:00,0.0005230772978928044,56243.44,55058.12266702572,STOP LOSS,-0.6782319083288094,-0.021074765927800443,0.05821932065111446,11
BTCUSDT,2021-03-18 00:00:00,2021-03-18 12:00:00,0.0004986898218309245,58912.97,57649.142978031654,STOP LOSS,-0.6883860117637536,-0.021452441151215917,0.058128339353250694,13
BTCUSDT,2021-03-17 22:00:00,2021-03-18 20:00:00,0.0005184010708049477,58427.49,57134.968098782265,STOP LOSS,-0.7299524396533803,-0.022121811175146,0.05990770202326062,23
BTCUSDT,2021-04-14 22:00:00,2021-04-16 04:00:00,0.00048183152050108386,62773.65,61520.45485896111,STOP LOSS,-0.6637177378248548,-0.01996371313503187,0.05988881753351439,31
BTCUSDT,2021-04-15 01:00:00,2021-04-16 04:00:00,0.0004678737922079415,62705.0,61523.32156528337,STOP LOSS,-0.6109995463315919,-0.018845043213725043,0.05812317591037673,28
BTCUSDT,2021-04-15 02:00:00,2021-04-16 04:00:00,0.00045414938834837065,62660.01,61502.58931062027,STOP LOSS,-0.5820302666762164,-0.018471441185210935,0.05638836853266203,27
BTCUSDT,2021-05-09 15:00:00,2021-05-10 07:00:00,0.0005280767103610034,57170.9,58651.616754149596,TAKE PROFIT,0.720768858874477,0.025899832854644478,0.06116317363326351,17
BTCUSDT,2021-06-05 01:00:00,2021-06-05 09:00:00,0.0008017507137504531,37682.84,36852.59863456377,STOP LOSS,-0.7254054484486082,-0.022032345901641825,0.0597588411249646,9
BTCUSDT,2021-06-05 02:00:00,2021-06-05 09:00:00,0.000777557349930186,37688.5,36885.78301780922,STOP LOSS,-0.6821442712924914,-0.02129872460275095,0.05798578187627141,8
BTCUSDT,2021-06-05 03:00:00,2021-06-05 09:00:00,0.000755180721113462,37639.92,36848.97101653713,STOP LOSS,-0.65356199812826,-0.021013567070888306,0.056252574432810586,7
BTCUSDT,2021-06-05 04:00:00,2021-06-05 09:00:00,0.0007370037808606347,37410.04,36635.56522964162,STOP LOSS,-0.6253627249456563,-0.02070232403810257,0.05457189101035986,6
BTCUSDT,2021-06-05 05:00:00,2021-06-05 09:00:00,0.0007098421385545225,37675.1,36922.95235609579,STOP LOSS,-0.5868589330741624,-0.019964051692078044,0.05295284101645327,5
BTCUSDT,2021-06-13 21:00:00,2021-06-14 16:00:00,0.0007672369818404398,39249.99,40012.62478549778,TAKE PROFIT,0.5243084017310407,0.01943019056814488,0.06081320934080674,20
BTCUSDT,2021-06-13 22:00:00,2021-06-14 16:00:00,0.0007509017881867303,38899.52,40012.62478549778,TAKE PROFIT,0.7765771032404098,0.028614871995792823,0.059255270629080446,19
BTCUSDT,2021-06-13 23:00:00,2021-06-14 16:00:00,0.0007288446052400954,38873.24,40012.62478549778,TAKE PROFIT,0.7729389172240901,0.029310260361569584,0.05749553697860967,18
BTCUSDT,2021-06-14 00:00:00,2021-06-14 16:00:00,0.0007042883225612219,39020.56,40012.62478549778,TAKE PROFIT,0.6430374945110403,0.025424155509243818,0.055662149139249315,17
BTCUSDT,2021-06-14 04:00:00,2021-06-14 16:00:00,0.000683934645356581,38975.14,40012.62478549778,TAKE PROFIT,0.6555493199361927,0.026619141983782013,0.05402246889607846,13
BTCUSDT,2021-06-15 02:00:00,2021-06-16 11:00:00,0.0007568557060341554,39922.03,39087.86992598072,STOP LOSS,-0.6911379053595322,-0.020894730904697956,0.0597990935921661,34
BTCUSDT,2021-06-29 13:00:00,2021-06-30 03:00:00,0.0008428955365216596,35822.33,35023.68824013646,STOP LOSS,-0.7328873672237286,-0.022294522993438592,0.05971579255494311,15
BTCUSDT,2021-06-29 16:00:00,2021-06-30 03:00:00,0.0008079602153991001,36248.99,35465.52228629001,STOP LOSS,-0.6909532155214333,-0.021613504644129033,0.05794247279407229,12
BTCUSDT,2021-06-30 12:00:00,2021-06-30 15:00:00,0.0008651872453140902,34849.99,34169.903861859675,STOP LOSS,-0.648116984276137,-0.019514672404219446,0.05971513184221326,4
BTCUSDT,2021-06-30 14:00:00,2021-06-30 16:00:00,0.0008167129547026374,34734.41,34072.68218190962,STOP LOSS,-0.5966373250819088,-0.01905107408159179,0.05619564356038415,3
BTCUSDT,2021-06-30 13:00:00,2021-07-01 06:00:00,0.0008443319924967221,34638.4,33959.29965744113,STOP LOSS,-0.6313053777703975,-0.019605418915390804,0.05791923243245898,18
BTCUSDT,2021-06-30 15:00:00,2021-07-01 06:00:00,0.0007952913523678583,34598.83,33949.616668916075,STOP LOSS,-0.5708297349070168,-0.018764025577857057,0.05451598685403827,16
BTCUSDT,2021-07-26 01:00:00,2021-07-26 07:00:00,0.000818264400447527,36758.73,37912.86921251657,TAKE PROFIT,0.8832899194027607,0.03139769008658799,0.061101111360087904,7
BTCUSDT,2021-07-26 15:00:00,2021-07-26 20:00:00,0.0007856819874870875,38316.85,37412.61241646316,STOP LOSS,-0.7699424563364385,-0.02359895407730117,0.05949927454269548,6
BTCUSDT,2021-07-27 05:00:00,2021-07-28 06:00:00,0.0008140841463835322,36951.66,39315.91077296427,TAKE PROFIT,1.8626108520957676,0.06398226149959885,0.062088220249454255,26
BTCUSDT,2021-08-02 01:00:00,2021-08-02 20:00:00,0.0007626165849488935,39518.73,38714.320348648806,STOP LOSS,-0.6731179629004018,-0.020355149351995783,0.0596618216870214,20
BTCUSDT,2021-08-02 02:00:00,2021-08-02 20:00:00,0.0007379813079288036,39611.58,38807.03246660246,STOP LOSS,-0.6516125111816755,-0.020310917499315573,0.05787147019406527,19
BTCUSDT,2021-08-06 01:00:00,2021-08-07 13:00:00,0.0007512831239759913,40061.99,43179.764150029725,TAKE PROFIT,2.2797929781828485,0.0778237463997602,0.06253812510307577,37
BTCUSDT,2021-08-06 02:00:00,2021-08-07 13:00:00,0.0007191262008831799,40596.57,43179.764150029725,TAKE PROFIT,1.7973968383533008,0.06363084738512947,0.060245756901230685,36
BTCUSDT,2021-08-06 05:00:00,2021-08-07 13:00:00,0.0007049732788890818,40167.99,43179.764150029725,TAKE PROFIT,2.0644623582886465,0.0749794587687791,0.05875793953118753,33
